Wache;Zone;Groupement;Hausnummer;Strasse;PLZ;Ort;WGS84_Lat;WGS84_Lon;LUREF_E;LUREF_N
CIS Ingeldorf;NORD;3_Nordstad;15;Rue du Berger;9161;Ingeldorf;49,8521118;6,1337800;77529,8828125;101970,3437500
CIS Junglinster;EST;2_Zwee-Iernz;1;Rue Emile Nilles;6131;Junglinster ;49,7039490;6,2522998;86072,0468750;85494,1015625
CIS Käerjeng-Péiteng;SUD;1_Kordall;21B;Rue de l'Eau;4920;Bascharage;49,5654984;5,9054999;61001,8515625;70124,7421875
CIS Kahler;CENTRE;2_Réibierg;7;Rue des Trois Cantons;8354;Garnich;49,6121864;5,9491591;64175,2070312;75307,0703125
CIS Kayl-Tétange;SUD;3_Ginzebierg;16;Rue du Moulin;3660;Kayl;49,4851303;6,0404902;70752,0234375;61160,7460938
CIS Kehlen;CENTRE;2_Réibierg;59;Rue d'Olm;8281;Kehlen;49,6645012;6,0169001;69082,5625000;81113,7031250
CIS Kiischpelt;NORD;2_Stauséi;6;Am Burreneck;9747;Enscherange;50,0000114;5,9890599;67161,3515625;118435,7031250
CIS Kopstal;CENTRE;2_Réibierg;22A;Rue de Luxembourg;8184;Kopstal;49,6644096;6,0729799;73131,1875000;81097,1015625
CIS Lac;NORD;2_Stauséi;7;Doerfstrooss;9635;Bavigne;49,9211311;5,8473001;56960,2031250;109695,8203125
CIS Larochette;EST;2_Zwee-Iernz;4;Rue d'Ernzen;7615;Larochette;49,7819786;6,2180800;83597,6875000;94170,7500000
CIS Leudelange;SUD;2_Belval;21;Rue de la Poudrerie;3364;Leudelange;49,5636902;6,0781298;73489,7187500;69894,3359375
CIS Lintgen;CENTRE;1_Uelzechtdall;73C;Rue de Diekirch;7440;Lintgen;49,7265091;6,1254864;76925,6562500;88000,5156250
