Code_CIS	Pathologie
60632734	Reflux gastro-oesophagien
60632734	Ulcère duodénal
60632734	Ulcère gastrique
60632734	Ulcère gastro-duodénal
60635520	Impuissance masculine
60639091	Nausées et vomissements
60639586	Hypertension artérielle
60641690	Hypertension artérielle
60641690	Insuffisance cardiaque
60641854	Dysménorrhée
60641854	Règles douloureuses
60642949	Insomnie
60643442	Glaucome
60643976	Hypertension artérielle
60645557	Hépatite B
60647049	Alcoolisme
60647049	Anxiété
60648158	Diabète
60648756	Ostéoporose
60649235	Dépression
60649235	Schizophrénie
60649986	Epilepsie
60649986	Migraine
60650789	Syphilis
60651567	Anxiété
60651567	Dépression
60656799	Hypertension artérielle
60657189	Glaucome
60657997	Angine de poitrine
60657997	Angor
60657997	Hypertension artérielle
60658234	Hypercholestérolémie
60658234	Hyperlipidémie
60658330	Anxiété
60658330	Epilepsie
60658750	Adénome bénin de la prostate
60658750	Hypertrophie bénigne de la prostate
60659891	Epilepsie
60660616	Schizophrénie
60660655	Angine de poitrine
60660655	Angor
60660655	Hypertension artérielle
60660790	Maladie de Parkinson
60661312	Dysménorrhée
60661312	Règles douloureuses
60661383	Hyperuricémie
60662695	Dysménorrhée
60662695	Règles douloureuses
60663142	Angine de poitrine
60663142	Angor
60663142	Hypertension artérielle
60663231	Polyarthrite juvénile
60663231	Polyarthrite rhumatoïde
60665905	Hémorroïdes
60669978	Dépression
60670457	Reflux gastro-oesophagien
60670457	Ulcère gastro-duodénal
60670489	Cystite
60670806	Glaucome
60670980	Hypertension artérielle
60670980	Insuffisance cardiaque
60671178	Sinusite
60676481	Dermatite atopique
60676481	Dermatite de contact
60676481	Eczéma atopique
60676481	Eczéma de contact
60676481	Psoriasis
60679068	Hypercholestérolémie
60679068	Hyperlipidémie
60681934	Dépression
60683198	Anxiété
60683198	Dépression
60685046	Hyperuricémie
60685523	BPCO
60685523	Bronchopneumopathie chronique obstructive
60685523	Cystite
60685523	Otite moyenne aiguë
60685523	Sinusite
60691750	Hypertension artérielle
60691768	Hypercholestérolémie
60691768	Hyperlipidémie
60693694	Angine de poitrine
60693694	Angor
60693915	Pityriasis versicolor
60695745	Polyarthrite juvénile
60695745	Polyarthrite rhumatoïde
60695745	Psoriasis
60697664	Hypertension artérielle
60697664	Infarctus du myocarde
60697664	Insuffisance cardiaque
60699245	Epilepsie
60699494	Extrasystoles
60699494	Hypertension artérielle
60700391	Constipation
60701479	Hypertension artérielle
60701479	Infarctus du myocarde
60701479	Insuffisance cardiaque
60701582	Maladie de Parkinson
60701778	Asthme
60701778	BPCO
60701778	Bronchopneumopathie chronique obstructive
60702983	Angine de poitrine
60702983	Angor
60702983	Hypertension artérielle
60703487	Hypercholestérolémie
60703487	Hyperlipidémie
60703576	BPCO
60703576	Bronchopneumopathie chronique obstructive
60703576	Prostatite
60703576	Sinusite
60703590	Angine de poitrine
60703590	Angor
60705552	Cystite
60705552	Otite moyenne aiguë
60705972	Maladie de Crohn
60705972	Polyarthrite juvénile
60705972	Polyarthrite rhumatoïde
60705972	Psoriasis
60707699	Diabète
60709675	Aspergillose
60710275	Schizophrénie
60711128	Insomnie
60711441	Hémorroïdes
60711555	Acné
60713079	Schizophrénie
60715272	Migraine
60716805	Grippe saisonnière
60716890	Maladie de Parkinson
60717355	Anémie par carence en fer
60718902	Hypertension artérielle
60722288	Angine de poitrine
60722288	Angor
